relation	concept	argument	metadata
property	wheel	structure	cyclic	65	2gms,	2.74049e-05	1
property	abbey	motion	asynchronous	1	web1t,	0.000615764	1
property	accelerometer	motion	seismic	451	2gms,	1	1
property	adobe	motion	seismic	198	2gms,	0.280851	1
property	bottle	motion	shaky	1	web1t,	1.31586e-06	1
property	bow	motion	rapid	1	web1t,	3.49711e-05	1
property	brace	motion	seismic	461	2gms,	0.113268	1
property	bus	motion	shaky	112	2gms,	5.44121e-05	1
property	bus	motion	rapid	1	web1t,	1.49289e-06	1
property	camcorder	motion	shaky	106	2gms,	0.000127393	1
property	cannon	motion	seismic	47	2gms,	0.382114	1
property	canopy	motion	shaky	51	2gms,web1t,	0.000210175	2
property	car	motion	rapid	5	web1t,gan,	1.74516e-06	2
property	cast	motion	rapid	1	web1t,	1.2432e-06	1
property	chain	motion	rapid	2	web1t,	5.07525e-06	1
property	condo	motion	shaky	50	2gms,	0.000146996	1
property	cross	motion	rapid	1	web1t,	1.39766e-05	1
property	door	motion	seismic	67	2gms,	0.00721905	1
property	drum	motion	seismic	526	2gms,	0.0621676	1
property	express	motion	rapid	2	nounAndItsGloss,	4.35773e-06	1
property	flash	motion	rapid	1	web1t,	7.20523e-06	1
property	frame	motion	shaky	124	2gms,	3.31637e-05	1
property	frame	motion	asynchronous	5	web1t,	0.000183426	1
property	framing	motion	asynchronous	1	web1t,	3.66851e-05	1
property	framing	motion	rapid	1	web1t,	3.66851e-05	1
property	frame	motion	seismic	698	2gms,	0.0256062	1
property	framing	motion	seismic	54	2gms,	0.001981	1
property	framing	motion	rapid	1	web1t,	1.00137e-06	1
property	guitar	motion	rapid	1	web1t,	2.5683e-06	1
property	hammer	motion	rapid	1	web1t,	2.51572e-05	1
property	hold	motion	shaky	777	2gms,web1t,	0.000709798	2
property	hold	motion	seismic	128	2gms,	0.0161453	1
property	hold	motion	rapid	1	web1t,	9.73166e-07	1
property	hook	motion	shaky	76	2gms,web1t,	0.000111705	2
property	lemon	motion	shaky	116	2gms,	0.000427135	1
property	limited	motion	seismic	103	2gms,	0.0148844	1
property	freight liner	motion	rapid	1	nounAndItsGloss,	1.87227e-05	1
property	lipstick	motion	seismic	95	2gms,	1	1
property	local	motion	shaky	77	2gms,	1.50273e-05	1
property	local	motion	seismic	45	2gms,	0.00189378	1
property	lock	motion	rapid	1	web1t,	7.04161e-06	1
property	nail	motion	shaky	50	2gms,	6.72427e-05	1
property	pack	motion	rapid	1	web1t,	2.32573e-06	1
property	palace	motion	shaky	76	2gms,	0.000110552	1
property	pier	motion	seismic	107	2gms,	1	1
property	pin	motion	asynchronous	1	web1t,	0.000446429	1
property	plug	motion	asynchronous	2	web1t,	0.00111794	1
property	portfolio	motion	rapid	1	web1t,	1.61644e-06	1
property	quiver	motion	shaky	1	nounAndItsGloss,	6.28852e-05	1
property	range	motion	rapid	2	web1t,	0.000875274	1
property	range	motion	seismic	71	2gms,	0.0310722	1
property	range	motion	rapid	2	web1t,	3.84619e-07	1
property	ray	motion	shaky	777	2gms,	0.00127865	1
property	ray	motion	rapid	2	web1t,	1.85266e-05	1
property	rubber	motion	seismic	40	2gms,	0.0222222	1
property	slide rule	motion	rapid	2	nounAndItsGloss,	1.36002e-06	1
property	safe	motion	seismic	120	2gms,	0.00452984	1
property	seismograph	motion	seismic	123	2gms,	1	1
property	shoe	motion	seismic	4697	2gms,	0.297278	1
property	slipstick	motion	rapid	1	nounAndItsGloss,	1	1
property	table	motion	shaky	304	2gms,gan,	6.46616e-05	2
property	tank	motion	seismic	190	2gms,	0.0641892	1
property	tank	motion	rapid	1	web1t,	3.02062e-06	1
property	tie	motion	shaky	111	2gms,	7.0708e-05	1
property	tie	motion	seismic	650	2gms,	0.515055	1
property	toolbox	motion	seismic	53	2gms,	0.119639	1
property	train	motion	shaky	55	2gms,	4.55189e-05	1
property	liner train	motion	rapid	1	nounAndItsGloss,	3.77973e-06	1
property	train	motion	rapid	3	web1t,	1.13392e-05	1
property	vacuum	motion	rapid	1	web1t,	3.43862e-06	1
property	weir	motion	shaky	1	web1t,	5.8782e-05	1
property	wheel	motion	rapid	4	web1t,	1.88616e-05	1
property	wing	motion	rapid	3	web1t,	2.45688e-05	1
property	airplane	sound	noisy	646	2gms,	0.00115886	1
property	alternator	sound	noisy	41	2gms,	0.00161252	1
property	apple	sound	characteristic	110	2gms,	7.67176e-05	1
property	grab bag	sound	auditory	48	3gms,	0.979592	1
property	bath	sound	noisy	54	2gms,	6.45326e-05	1
property	bathroom	sound	noisy	164	2gms,	0.000242877	1
property	tower block	sound	noisy	43	3gms,	1.88187e-05	1
property	blower	sound	noisy	249	2gms,	0.00335056	1
property	blue	sound	characteristic	2	web1t,	0.00125313	1
property	bottle	sound	characteristic	43	2gms,	5.65821e-05	1
property	bottle	sound	amphoric	1	gan,	1	1
property	bowl	sound	noisy	1	web1t,	7.05366e-07	1
property	bow	sound	characteristic	175	2gms,	0.00029201	1
property	box	sound	characteristic	1286	2gms,	0.000164234	1
property	box	sound	noisy	764	2gms,	9.757e-05	1
property	brake	sound	noisy	702	2gms,web1t,	0.00111066	2
property	brass	sound	characteristic	186	2gms,	0.000133639	1
property	brass	sound	noisy	115	2gms,	8.26263e-05	1
property	bullet	sound	characteristic	43	2gms,	6.23562e-05	1
property	bumper	sound	noisy	55	2gms,	7.47121e-05	1
property	bus	sound	characteristic	67	2gms,	3.25501e-05	1
property	bus	sound	noisy	1123	2gms,web1t,	0.000545578	2
property	canopy	sound	characteristic	67	2gms,	0.000276112	1
property	capsule	sound	auditory	288	2gms,	1	1
property	car	sound	noisy	4109	2gms,web1t,	0.000516566	2
property	cart	sound	noisy	48	2gms,	5.63066e-05	1
property	castle	sound	characteristic	1	web1t,	1.41033e-06	1
property	cast	sound	characteristic	49	2gms,	3.52009e-05	1
property	chain	sound	characteristic	203	2gms,web1t,	9.17143e-05	2
property	chain	sound	noisy	332	2gms,	0.000149996	1
property	chalet	sound	characteristic	43	2gms,	0.000367038	1
property	chime	sound	characteristic	49	2gms,web1t,	0.000572979	2
property	churn	sound	noisy	87	2gms,	0.00242881	1
property	clutch	sound	noisy	459	2gms,	0.0034	1
property	cockpit	sound	noisy	187	2gms,web1t,	0.00372258	2
property	corkscrew	sound	characteristic	58	2gms,	0.00203974	1
property	cream	sound	characteristic	46	2gms,	3.70505e-05	1
property	cream	sound	noisy	1165	2gms,	0.000938343	1
property	cross	sound	characteristic	41	2gms,	2.70255e-05	1
property	cylinder	sound	characteristic	40	2gms,	0.00013232	1
property	dipole	sound	characteristic	66	2gms,	0.000732576	1
property	dishwasher	sound	noisy	77	2gms,	0.000464535	1
property	door	sound	characteristic	49	2gms,	1.07255e-05	1
property	door	sound	noisy	606	2gms,	0.000132646	1
property	drum	sound	characteristic	74	2gms,	9.49658e-05	1
property	drum	sound	noisy	616	2gms,web1t,	0.000790526	2
property	empty	sound	noisy	133	2gms,	0.00047519	1
property	envelope	sound	characteristic	45	2gms,	0.000110589	1
property	envelope	sound	auditory	94	2gms,	1	1
property	exhaust	sound	characteristic	154	2gms,	0.000627544	1
property	exhaust	sound	noisy	1367	2gms,	0.00557047	1
property	flag	sound	characteristic	91	2gms,	4.96633e-05	1
property	flash	sound	characteristic	82	2gms,	8.38287e-05	1
property	flute	sound	alto	8	web1t,	1	1
property	frame	sound	characteristic	230	2gms,	6.15132e-05	1
property	frame	sound	noisy	271	2gms,	7.24787e-05	1
property	gearbox	sound	noisy	195	2gms,	0.00703032	1
property	generator	sound	characteristic	184	2gms,	0.000169896	1
property	generator	sound	noisy	1309	2gms,web1t,	0.00120866	2
property	gong	sound	characteristic	2	web1t,	5.57383e-05	1
property	gong	sound	noisy	2238	2gms,web1t,	0.0623711	2
property	gong	sound	clangorous	1	gan,	1	1
property	guitar	sound	characteristic	259	2gms,	0.000201087	1
property	guitar	sound	noisy	3793	2gms,web1t,	0.00294488	2
property	guitar	sound	staccato	1	web1t,	0.00952381	1
property	hammer	sound	noisy	73	2gms,	0.000166556	1
property	hold	sound	characteristic	218	2gms,	0.000199146	1
property	honeycomb	sound	characteristic	83	2gms,	0.00230025	1
property	hook	sound	characteristic	96	2gms,	0.000141102	1
property	hook	sound	noisy	122	2gms,	0.000179317	1
property	horn	sound	characteristic	167	2gms,	0.000351629	1
property	horn	sound	noisy	164	2gms,	0.000345312	1
property	horn	sound	trumpet-like	1	gan,	0.00145773	1
property	ipod	sound	characteristic	44	2gms,	7.35106e-05	1
property	jeep	sound	noisy	102	2gms,	0.00053691	1
property	gas lamp	sound	noisy	46	3gms,	3.31681e-05	1
property	laptop	sound	noisy	279	2gms,	0.000185991	1
property	lemon	sound	characteristic	104	2gms,	0.000382948	1
property	limited	sound	characteristic	131	2gms,	3.19378e-05	1
property	power line	sound	noisy	194	3gms,	1.47442e-05	1
property	local	sound	characteristic	1322	2gms,	0.000258001	1
property	local	sound	noisy	415	2gms,	8.09912e-05	1
property	washing machine	sound	noisy	88	3gms,	2.80552e-05	1
property	metronome	sound	auditory	150	2gms,	1	1
property	microphone	sound	noisy	170	2gms,web1t,	0.000284922	2
property	microwave	sound	characteristic	46	2gms,	0.000185916	1
property	water mill	sound	characteristic	55	3gms,	9.39394e-05	1
property	monument	sound	characteristic	493	2gms,web1t,	0.00246977	2
property	mosaic	sound	characteristic	192	2gms,	0.000907638	1
property	motel	sound	noisy	115	2gms,web1t,	0.000303703	2
property	motorcycle	sound	noisy	500	2gms,	0.000568907	1
property	mouthpiece	sound	alto	1	web1t,	1	1
property	muffler	sound	noisy	357	2gms,	0.00600333	1
property	nail	sound	characteristic	60	2gms,	8.06913e-05	1
property	nail	sound	noisy	1089	2gms,	0.00146455	1
property	oboe	sound	alto	1	jjnnInGloss,	1	1
property	pack	sound	noisy	189	2gms,	8.72903e-05	1
property	palace	sound	characteristic	83	2gms,	0.000120734	1
property	perfume	sound	characteristic	125	2gms,web1t,	0.000251651	2
property	piano	sound	alto	1	web1t,	1	1
property	pizza	sound	noisy	50	2gms,	9.30077e-05	1
property	plaque	sound	characteristic	354	2gms,web1t,	0.00112031	2
property	portfolio	sound	characteristic	226	2gms,	0.000205602	1
property	racket	sound	noisy	318	2gms,	0.00462579	1
property	radiator	sound	noisy	230	2gms,	0.00158534	1
property	range	sound	characteristic	1486	2gms,web1t,	7.35852e-05	2
property	range	sound	noisy	660	2gms,web1t,	3.26825e-05	2
property	range	sound	tenor	1	gan,	4.9519e-08	1
property	range	sound	auditory	999	2gms,	0.929302	1
property	range	sound	alto	1	gan,	0.000930233	1
property	range	sound	countertenor	1	gan,	0.000930233	1
property	ray	sound	characteristic	385	2gms,web1t,	0.000633565	2
property	refrigerator	sound	noisy	131	2gms,	0.000183977	1
property	rosette	sound	characteristic	44	2gms,	0.000940492	1
property	rubber	sound	noisy	46	2gms,	4.1578e-05	1
property	sax	sound	tenor	1	gan,	1.39936e-05	1
property	sax	sound	alto	7	web1t,	0.5	1
property	saxophone	sound	alto	8	web1t,jjnnInGloss,	1	2
property	scooter	sound	noisy	133	2gms,	0.00139712	1
property	seal	sound	characteristic	61	2gms,	7.22744e-05	1
property	shoe	sound	characteristic	156	2gms,web1t,	3.88273e-05	2
property	shoe	sound	noisy	464	2gms,	0.000115486	1
property	shuttle	sound	noisy	52	2gms,	0.000117868	1
property	skyscraper	sound	characteristic	40	2gms,	0.000988851	1
property	snowmobile	sound	noisy	90	2gms,	0.00193728	1
property	spindle	sound	characteristic	132	2gms,	0.00128163	1
property	strawberry	sound	characteristic	53	2gms,	0.000196834	1
property	exhaust system	sound	noisy	116	3gms,	4.54904e-06	1
property	table	sound	characteristic	2663	2gms,web1t,	0.000566427	2
property	table	sound	noisy	1401	2gms,	0.000297997	1
property	tank	sound	noisy	50	2gms,	3.33892e-05	1
property	tin	sound	noisy	124	2gms,	0.000483969	1
property	toolbox	sound	auditory	352	2gms,	0.783964	1
property	top	sound	noisy	1	web1t,	1.27675e-05	1
property	clock tower	sound	characteristic	58	3gms,	3.46994e-05	1
property	toy	sound	noisy	7074	2gms,web1t,	0.00174935	2
property	train	sound	characteristic	87	2gms,	7.20026e-05	1
property	train	sound	noisy	1244	2gms,web1t,	0.00102955	2
property	treadmill	sound	noisy	55	2gms,	0.000295155	1
property	triangle	sound	characteristic	222	2gms,	0.000151631	1
property	trumpet	sound	noisy	45	2gms,	0.00030973	1
property	trumpet	sound	trumpet-like	1	gan,	0.00671141	1
property	vacuum	sound	noisy	314	2gms,web1t,	0.000239496	2
property	van	sound	noisy	47	2gms,	3.86377e-05	1
property	wheel	sound	characteristic	186	2gms,	7.84203e-05	1
property	wheel	sound	noisy	626	2gms,web1t,	0.000263931	2
property	windmill	sound	characteristic	169	2gms,web1t,	0.00207301	2
property	wing	sound	characteristic	265	2gms,	0.000202846	1
property	wing	sound	noisy	149	2gms,	0.000114053	1
property	oled	sound	noisy	1	cw0912	1.07143	1
property	generator	sound	noisy	1	cw0912	1.00362	1
property	apple	taste property	sweet	26496	2gms,web1t,nounAndItsGloss,	0.0184792	3
property	apple	taste property	sour	65350	2gms,web1t,jjnnInGloss,	0.140701	3
property	apple	taste property	acidic	125	2gms,	0.000525431	1
property	apple	taste property	appetizing	103	2gms,	0.00924596	1
property	apple	taste property	juicy	8088	2gms,	0.726032	1
property	apple	taste property	tasty	2293	2gms,web1t,	0.205835	2
property	artichoke	taste property	tasty	71	2gms,	1	1
property	bagel	taste property	delicious	1941	2gms,web1t,	0.0325098	2
property	bagel	taste property	delicious	1941	2gms,web1t,	0.0325098	2
property	bagel	taste property	sweet	41	2gms,web1t,	0.00068671	2
property	bagel	taste property	tasty	1143	2gms,	1	1
property	banana	taste property	bittersweet	49	2gms,	0.135734	1
property	banana	taste property	juicy	380	2gms,	0.337478	1
property	banana	taste property	tasty	746	2gms,	0.662522	1
property	bird	taste property	bland	105	2gms,web1t,	0.0635209	2
property	bird	taste property	juicy	441	2gms,	0.266788	1
property	bird	taste property	tasty	1107	2gms,web1t,	0.669691	2
property	broccoli	taste property	tasty	85	2gms,	1	1
property	buffalo	taste property	juicy	227	2gms,	0.310534	1
property	buffalo	taste property	tasty	504	2gms,web1t,	0.689466	2
property	burrito	taste property	delicious	612	2gms,	0.012338	1
property	burrito	taste property	tasty	752	2gms,	0.909311	1
property	butternut	taste property	tasty	52	2gms,	1	1
property	carrot	taste property	delicious	1483	2gms,	0.0130667	1
property	carrot	taste property	delicious	1483	2gms,	0.0130667	1
property	carrot	taste property	sweet	5927	2gms,web1t,	0.0522226	2
property	carrot	taste property	sour	1204	2gms,	0.0561855	1
property	carrot	taste property	juicy	845	2gms,	0.778802	1
property	carrot	taste property	juicy	845	2gms,	0.607914	1
property	carrot	taste property	tasty	545	2gms,	0.392086	1
property	chickpea	taste property	delicious	63	2gms,web1t,	0.0122449	2
property	chickpea	taste property	tasty	129	2gms,web1t,	1	2
property	clementine	taste property	juicy	92	2gms,	1	1
property	cream	taste property	piquant	57	2gms,	4.59104e-05	1
property	cream	taste property	rancid	93	2gms,	7.49064e-05	1
property	cream	taste property	sweet	29835	2gms,web1t,	0.0240304	2
property	cream	taste property	bland	234	2gms,	0.0435187	1
property	cream	taste property	juicy	1575	2gms,	0.292914	1
property	cream	taste property	piquant	57	2gms,	0.0106007	1
property	cream	taste property	rancid	93	2gms,	0.0172959	1
property	cream	taste property	tasty	2116	2gms,	0.393528	1
property	cucumber	taste property	juicy	1235	2gms,	0.526652	1
property	cucumber	taste property	tasty	1110	2gms,	0.473348	1
property	golden delicious	taste property	sweet	1	nounAndItsGloss,	0.25	1
property	red delicious	taste property	sweet	1	nounAndItsGloss,	0.25	1
property	fig	taste property	juicy	424	2gms,	0.861789	1
property	fig	taste property	tasty	68	2gms,	0.138211	1
property	french fries	taste property	tasty	167	3gms,	0.0768877	1
property	guacamole	taste property	delicious	283	2gms,	0.0244408	1
property	guacamole	taste property	rancid	46	2gms,	0.00397271	1
property	guacamole	taste property	bland	40	2gms,	0.139373	1
property	guacamole	taste property	rancid	46	2gms,	0.160279	1
property	guacamole	taste property	tasty	201	2gms,	0.700348	1
property	gyro	taste property	delicious	116	2gms,	0.00654628	1
property	gyro	taste property	tasty	99	2gms,	1	1
property	hamburger	taste property	delicious	1439	2gms,web1t,	0.0186172	2
property	hamburger	taste property	sweet	44	2gms,	0.000569255	1
property	hamburger	taste property	sour	1	web1t,	2.78924e-05	1
property	hamburger	taste property	juicy	5259	2gms,	0.884014	1
property	hamburger	taste property	tasty	690	2gms,	0.115986	1
property	hotdog	taste property	juicy	154	2gms,	1	1
property	lemon	taste property	piquant	182	2gms,	0.00067016	1
property	lemon	taste property	sweet	7685	2gms,web1t,	0.0282977	2
property	lemon	taste property	sour	6900	2gms,web1t,	0.038165	2
property	lemon	taste property	acidic	182	2gms,web1t,nounAndItsGloss,	0.00282591	3
property	lemon	taste property	juicy	1407	2gms,	0.576403	1
property	lemon	taste property	piquant	182	2gms,	0.0745596	1
property	lemon	taste property	tasty	480	2gms,web1t,	0.196641	2
property	lobster	taste property	sweet	957	2gms,web1t,	0.00954119	2
property	lobster	taste property	sour	52	2gms,	0.00117754	1
property	lobster	taste property	juicy	211	2gms,	0.680645	1
property	lobster	taste property	juicy	211	2gms,	0.291436	1
property	lobster	taste property	tasty	513	2gms,web1t,	0.708564	2
property	mast	taste property	sweet	46	2gms,	0.000418707	1
property	mushroom	taste property	juicy	234	2gms,	0.0687225	1
property	mushroom	taste property	tasty	3171	2gms,web1t,	0.931278	2
property	orange	taste property	sweet	5625	2gms,web1t,jjnnInGloss,	0.184717	3
property	orange	taste property	sour	1497	2gms,web1t,jjnnInGloss,	0.112185	3
property	orange	taste property	acidic	2	web1t,jjnnInGloss,	0.000522876	2
property	orange	taste property	juicy	2332	2gms,	0.68347	1
property	orange	taste property	lemony	2	web1t,	0.000586166	1
property	orange	taste property	tasty	72	2gms,	0.021102	1
property	parsnip	taste property	delicious	1	web1t,	9.77899e-05	1
property	parsnip	taste property	delicious	1	web1t,	9.77899e-05	1
property	parsnip	taste property	sweet	138	2gms,	0.013495	1
property	pecan	taste property	delicious	1096	2gms,	0.0247818	1
property	pecan	taste property	sweet	2015	2gms,web1t,	0.0455614	2
property	pecan	taste property	lemony	284	2gms,	0.544061	1
property	pecan	taste property	tasty	238	2gms,	0.455939	1
property	pineapple	taste property	juicy	1637	2gms,	0.717039	1
property	pineapple	taste property	tasty	646	2gms,	0.282961	1
property	pizza	taste property	sweet	958	2gms,	0.00178203	1
property	pizza	taste property	bland	41	2gms,	0.00698229	1
property	pizza	taste property	juicy	70	2gms,	0.011921	1
property	pizza	taste property	tasty	5321	2gms,web1t,	0.906165	2
property	pomegranate	taste property	juicy	399	2gms,	0.585903	1
property	mashed potato	taste property	delicious	330	3gms,	0.000239238	1
property	mashed potato	taste property	sweet	536	3gms,	0.00038858	1
property	mashed potato	taste property	tasty	92	3gms,	0.0572495	1
property	pretzel	taste property	delicious	352	2gms,web1t,	0.00569377	2
property	pretzel	taste property	sweet	273	2gms,	0.0044159	1
property	pretzel	taste property	tasty	142	2gms,web1t,	1	2
property	pumpkin	taste property	tasty	534	2gms,	1	1
property	rabbit	taste property	juicy	489	2gms,	0.101579	1
property	rabbit	taste property	rancid	198	2gms,	0.04113	1
property	rabbit	taste property	tasty	236	2gms,	0.0490237	1
property	sack	taste property	sweet	50	2gms,	0.000390677	1
property	granny smith	taste property	juicy	137	3gms,	0.421538	1
property	spinach	taste property	tasty	521	2gms,web1t,	1	2
property	strawberry	taste property	delicious	5582	2gms,web1t,	0.0207307	2
property	strawberry	taste property	sweet	15790	2gms,nounAndItsGloss,web1t,	0.0586418	3
property	strawberry	taste property	sour	3327	2gms,web1t,	0.0332235	2
property	strawberry	taste property	juicy	3264	2gms,	0.692112	1
property	strawberry	taste property	tasty	793	2gms,web1t,	0.168151	2
property	tangerine	taste property	juicy	81	2gms,	1	1
property	wing	taste property	delicious	293	2gms,web1t,	0.000224278	2
property	wing	taste property	sweet	501	2gms,	0.000383493	1
property	wing	taste property	sweet	501	2gms,	0.000383493	1
property	wing	taste property	sour	193	2gms,	0.00108094	1
property	wing	taste property	juicy	124	2gms,	0.0613558	1
property	wing	taste property	tasty	1129	2gms,	0.558634	1
property	yam	taste property	delicious	130	2gms,	0.000937437	1
property	yam	taste property	sweet	1413	2gms,nounAndItsGloss,web1t,	0.0101892	3
property	yam	taste property	sour	46	2gms,	0.0126513	1
property	zucchini	taste property	tasty	64	2gms,	1	1
property	orange	taste property	lemony	9	cw0912	1.25	1
property	clementine	taste property	delicious	1	cw0912	1.2	1
property	accordion	strength	mighty	58	2gms,	1	1
property	adobe	strength	strong	95	2gms,	1	1
property	airplane	strength	rugged	123	2gms,web1t,	0.554054	2
property	airplane	strength	strong	99	2gms,	0.445946	1
property	alp	strength	mighty	329	2gms,	0.253662	1
property	alp	strength	rugged	114	2gms,	0.0878951	1
property	alp	strength	strong	217	2gms,	0.167309	1
property	alp	strength	weak	105	2gms,	0.080956	1
property	alternator	strength	weak	94	2gms,	1	1
property	apple	strength	weak	301	2gms,	0.000209927	1
property	apple	strength	delicate	447	2gms,web1t,	0.117911	2
property	apple	strength	mighty	372	2gms,	0.0981271	1
property	apple	strength	strong	1513	2gms,	0.399103	1
property	apple	strength	weak	301	2gms,	0.0793986	1
property	axe	strength	mighty	1973	2gms,web1t,	0.842442	2
property	axe	strength	strong	155	2gms,web1t,	0.0661827	2
property	baby	strength	feeble	130	2gms,	0.000249051	1
property	backhoe	strength	mighty	1297	2gms,	1	1
property	backpack	strength	rugged	570	2gms,web1t,	0.796089	2
property	backpack	strength	strong	80	2gms,	0.111732	1
property	golf bag	strength	rugged	119	3gms,	0.00946473	1
property	sleeping bag	strength	rugged	486	3gms,	0.0386543	1
property	duffel bag	strength	strong	54	3gms,	0.00429492	1
property	plastic bag	strength	strong	1646	3gms,	0.130915	1
property	shopping bag	strength	strong	1	nounAndItsGloss,	7.95355e-05	1
property	tennis ball	strength	rugged	292	3gms,	0.0286359	1
property	banjo	strength	mighty	73	2gms,	0.528986	1
property	banjo	strength	strong	65	2gms,	0.471014	1
property	barrette	strength	delicate	91	2gms,web1t,	1	2
property	baseball	strength	mighty	58	2gms,	0.0359578	1
property	baseball	strength	strong	667	2gms,web1t,	0.413515	2
property	baseball	strength	weak	61	2gms,	0.0378177	1
property	basketball	strength	strong	1409	2gms,	0.769525	1
property	basketball	strength	weak	44	2gms,	0.0240306	1
property	bath	strength	delicate	430	2gms,	0.425743	1
property	bath	strength	mighty	67	2gms,	0.0663366	1
property	bath	strength	strong	229	2gms,	0.226733	1
property	bath	strength	weak	50	2gms,	0.049505	1
property	bathroom	strength	strong	42	2gms,	1	1
property	seat belt	strength	strong	129	3gms,	0.03125	1
property	seat belt	strength	weak	68	3gms,	0.0164729	1
property	bench	strength	rugged	119	2gms,web1t,	0.0291667	2
property	bench	strength	strong	2547	2gms,web1t,nounAndItsGloss,jjnnInGloss,nounAndItsGloss,	0.624265	5
property	bench	strength	weak	624	2gms,	0.152941	1
property	bicycle	strength	strong	209	2gms,	0.487179	1
property	binder	strength	mighty	147	2gms,	0.146414	1
property	binder	strength	strong	407	2gms,	0.405378	1
property	binder	strength	weak	369	2gms,web1t,	0.36753	2
property	blower	strength	strong	176	2gms,web1t,	0.814815	2
property	blower	strength	weak	40	2gms,	0.185185	1
property	blue	strength	delicate	1	web1t,	0.2	1
property	blue	strength	mighty	2	web1t,	0.4	1
property	blue	strength	strong	2	web1t,	0.4	1
property	bookend	strength	strong	43	2gms,	1	1
property	bottle	strength	delicate	197	2gms,	0.172052	1
property	bottle	strength	strong	598	2gms,	0.522271	1
property	bowl	strength	delicate	426	2gms,	0.428141	1
property	bowl	strength	mighty	191	2gms,	0.19196	1
property	bowl	strength	strong	277	2gms,	0.278392	1
property	bow	strength	delicate	3090	2gms,web1t,	0.333982	2
property	bow	strength	mighty	1876	2gms,web1t,	0.202767	2
property	bow	strength	strong	2740	2gms,web1t,	0.296152	2
property	bow	strength	weak	325	2gms,	0.0351275	1
property	box	strength	feeble	61	2gms,	4.46723e-05	1
property	box	strength	delicate	443	2gms,web1t,	0.00734623	2
property	music box	strength	delicate	103	3gms,	0.00170804	1
property	box	strength	mighty	189	2gms,	0.00313417	1
property	box	strength	rugged	798	2gms,web1t,jjnnInGloss,	0.0132332	3
property	gear box	strength	rugged	1	web1t,	1.65829e-05	1
property	box	strength	strong	24555	2gms,web1t,	0.407194	2
property	packing box	strength	strong	46	3gms,	0.000762814	1
property	box	strength	weak	1143	2gms,	0.0189543	1
property	brace	strength	strong	220	2gms,	0.612813	1
property	brake	strength	strong	1652	2gms,web1t,	0.622691	2
property	brake	strength	weak	735	2gms,	0.277045	1
property	brassiere	strength	delicate	2	web1t,	0.5	1
property	brass	strength	delicate	579	2gms,	0.14892	1
property	brass	strength	mighty	355	2gms,	0.0913066	1
property	brass	strength	rugged	606	2gms,	0.155864	1
property	brass	strength	strong	2186	2gms,	0.562243	1
property	brass	strength	weak	58	2gms,	0.0149177	1
property	bulb	strength	delicate	65	2gms,	0.112652	1
property	bulb	strength	rugged	120	2gms,	0.207972	1
property	bulb	strength	strong	181	2gms,web1t,	0.313691	2
property	bulb	strength	weak	167	2gms,	0.289428	1
property	bullet	strength	strong	222	2gms,	0.269417	1
property	bullet	strength	weak	353	2gms,	0.428398	1
property	bumper	strength	delicate	1	web1t,	0.00142653	1
property	bumper	strength	rugged	104	2gms,	0.148359	1
property	bumper	strength	strong	302	2gms,	0.430813	1
property	bunker	strength	strong	151	2gms,	0.626556	1
property	bus	strength	weak	177	2gms,	8.59905e-05	1
property	bus	strength	rugged	112	2gms,	0.0261377	1
property	bus	strength	strong	3996	2gms,	0.932555	1
property	bus	strength	weak	177	2gms,	0.0413069	1
property	butte	strength	rugged	339	2gms,web1t,	1	2
property	tool cabinet	strength	strong	2	web1t,	0.000884956	1
property	camcorder	strength	mighty	109	2gms,	0.630058	1
property	camcorder	strength	rugged	1	web1t,	0.00578035	1
property	camcorder	strength	strong	63	2gms,	0.364162	1
property	cannon	strength	feeble	41	2gms,	0.00467183	1
property	cannon	strength	mighty	454	2gms,	0.755408	1
property	cannon	strength	strong	86	2gms,	0.143095	1
property	canopy	strength	delicate	68	2gms,	0.222222	1
property	canopy	strength	strong	93	2gms,	0.303922	1
property	capsule	strength	delicate	58	2gms,	0.426471	1
property	carafe	strength	delicate	1	web1t,	1	1
property	caravan	strength	mighty	115	2gms,	0.684524	1
property	caravan	strength	strong	53	2gms,	0.315476	1
property	car	strength	delicate	147	2gms,	1.84802e-05	1
property	car	strength	weak	742	2gms,web1t,	9.32811e-05	2
property	car	strength	delicate	147	2gms,	0.0109636	1
property	car	strength	mighty	2528	2gms,web1t,	0.188544	2
property	car	strength	rugged	696	2gms,	0.0519093	1
property	armored car	strength	strong	1	nounAndItsGloss,	7.45823e-05	1
property	armoured car	strength	strong	1	nounAndItsGloss,	7.45823e-05	1
property	car	strength	strong	5137	2gms,web1t,	0.383129	2
property	car	strength	weak	742	2gms,web1t,	0.0553401	2
property	carrot	strength	strong	131	2gms,	0.488806	1
property	carrot	strength	weak	63	2gms,	0.235075	1
property	cart	strength	rugged	357	2gms,web1t,	0.399776	2
property	cart	strength	strong	265	2gms,web1t,	0.296753	2
property	shopping cart	strength	strong	184	3gms,	0.206047	1
property	cartwheel	strength	strong	50	2gms,	1	1
property	gear case	strength	rugged	1	web1t,	3.17345e-06	1
property	tool case	strength	rugged	89	3gms,	0.000282437	1
property	tool case	strength	strong	2	web1t,	6.34691e-06	1
property	castle	strength	mighty	3090	2gms,web1t,	0.37605	2
property	castle	strength	rugged	175	2gms,	0.0212973	1
property	castle	strength	strong	4159	2gms,web1t,	0.506146	2
